Ace Well ID, Lease Name, Well Number, Orignal 'Well Name', API Number, Seneca Well ID
0,No match,,1C 120,04019029960000,7743
0,No match,,1C 125,04019029970000,7744
0,No match,,1C 138,04019029990000,7745
0,No match,,1C 14,04019029470000,7154
0,No match,,1C 16,04019029480000,7155
0,No match,,1C 17,04019029490000,7156
0,No match,,1C 18,04019029500000,7157
0,No match,,1C 19,04019029510000,7158
0,No match,,1C 2,04019017140000,7060
0,No match,,1C 2-11,04019029420000,7151
0,No match,,1C 201,04019017210000,7065
0,No match,,1C 238,04019017220000,7066
0,No match,,1C 3,04019017150000,7061
0,No match,,1C 33,04019029520000,7159
0,No match,,1C 34,04019029530000,7160
0,No match,,1C 35,04019029540000,7161
0,No match,,1C 37,04019029550000,7162
0,No match,,1C 38,04019029560000,7163
0,No match,,1C 4,04019017160000,7062
0,No match,,1C 4-3,04019029430000,7152
0,No match,,1C 40,04019029570000,7164
0,No match,,1C 41,04019029580000,7165
0,No match,,1C 43,04019029590000,7166
0,No match,,1C 44,04019029600000,7167
0,No match,,1C 45,04019029610000,7168
0,No match,,1C 46,04019029620000,7169
0,No match,,1C 5,04019017170000,7063
0,No match,,1C 50,04019029640000,7170
6926,1C,501,1C 501,04019254730000,8079
6302,1C,502,1C 502,04019256140000,8559
6204,1C,503,1C 503,04019256130000,8556
6799,1C,504,1C 504,04019256090000,8557
6304,1C,505,1C 505,04019256100000,8560
6301,1C,506,1C 506,04019256110000,8558
0,No match,,1C 51,04019029650000,7171
6408,1C,514,1C 514,04019256900000,8593
6472,1C,515,1C 515,04019256910000,8599
0,No match,,1C 52,04019029660000,7172
0,No match,,1C 54,04019029670000,7173
0,No match,,1C 55,04019029680000,7174
0,No match,,1C 56,04019029690000,7175
0,No match,,1C 6-7,04019029440000,7153
0,No match,,1C 71,04019029700000,7176
0,No match,,1C 77,04019029710000,7177
0,No match,,1C 78,04019029720000,7178
0,No match,,1C 81,04019029730000,7179
0,No match,,1C 82,04019029740000,7180
0,No match,,1C 84,04019029750000,7181
0,No match,,1C 85,04019029760000,7182
0,No match,,1C 87,04019029770000,7183
0,No match,,1C 88,04019029780000,7184
0,No match,,1C 89,04019029790000,7185
0,No match,,1C 91,04019029800000,7186
0,No match,,1C 92,04019029810000,7187
0,No match,,20,04029053800000,565
0,No match,,205,04029456110000,627
0,No match,,209,04029054660000,628
0,No match,,21,04029053810000,108
0,No match,,211,04029054670000,451
0,No match,,213,04029054680000,294
0,No match,,216,04029054690000,244
0,No match,,220,04029457840000,92
0,No match,,224,04029457850000,430
0,No match,,228,04029054700000,486
0,No match,,22A 1 P&A,04019233020000,7705
0,No match,,22A 1 P&A,04019037820000,7786
0,No match,,22A 1 P&A,04019037740000,7783
4162,22A,22A 1-3,22A 1-3,04019233030000,7706
0,No match,,22A 10 P&A,04019002910000,7045
0,No match,,22A 10 P&A,04019037910000,7793
0,No match,,22A 11,04019020500000,7027
0,No match,,22A 12,04019020510000,7028
0,No match,,22A 13,04019002940000,7046
0,No match,,22A 14,04019002950000,7047
0,No match,,22A 15,04019002960000,7048
1291,Coalinga,22A 16,22A 16,04019002970000,7049
1292,Coalinga,22A 17,22A 17,04019002980000,7050
0,No match,,22A 17 P&A,04019020560000,7029
0,No match,,22A 18 P&A,04019020570000,7030
0,No match,,22A 18 P&A,04019002990000,7051
1293,Coalinga,22A 18A,22A 18A,04019231780000,7698
1294,Coalinga,22A 19,22A 19,04019003000000,7052
0,No match,,22A 2,04019020410000,7024
1295,Coalinga,22A 2-1,22A 2-1,04019233040000,7707
0,No match,,22A 20 P&A,04019020590000,7031
0,No match,,22A 20 P&A,04019003010000,7053
6085,22A,201,22A 201,04019254330000,8086
6539,22A,202,22A 202,04019256230000,8604
6540,22A,203,22A 203,04019256220000,8605
0,No match,,22A 204,04019258540000,8674
0,No match,,22A 205,04019258530000,8675
0,No match,,22A 21 P&A,04019003020000,7054
