Skip,Ace Well ID,Ace Well Number,Ace Lease Name,Seneca Well Name, API Number, Seneca Well ID
0,0,,,14-D,04029053740000,340
0,0,,,15,04029053750000,563
0,0,,,15A 501,04030257250000,3505
0,0,,,15A 508,04030500140000,8135
0,0,,,15A 513,04030458020000,5806
0,0,,,15A 515,04030500150000,8145
0,0,,,15A 518,04030458030000,5807
0,0,,,15A 542,04030543220000,8580
0,0,,,15A 543,04030543230000,8581
0,0,,,15A 544,04030543240000,8591
0,0,,,15A 545,04030543250000,8592
0,0,,,15A E31-WD,04030180650000,5077
0,0,,,15A E51-WD,04030269530000,5851
0,0,,,15A M128,04030489610000,8133
0,0,,,15A M130,04030489630000,8342
0,0,,,15A M133,04030530810000,8341
0,0,,,15A M134,04030574240000,8658
0,0,,,15A M135,04030574250000,8659
0,0,,,15A_15-HW,04030044450000,5000
0,0,,,15A_16-HW,04030044440000,5001
0,0,,,15A_17-HW,04030048270000,5002
0,0,,,15A_18-HW,04030048280000,5003
0,0,,,15A_19-HW,04030048290000,5004
0,0,,,15A_20-HW,04030048300000,5005
0,0,,,15A_21-HW,04030053420000,5006
0,0,,,15A_22-HW,04030053430000,5007
0,0,,,15A_23-HW,04030053440000,5008
0,0,,,15A_24-HW,04030053450000,5009
0,0,,,15A_25-HW,04030060180000,5010
0,0,,,15A_26-HW,04030060190000,5285
0,0,,,15A_27-HW,04030160150000,5011
0,0,,,15A_8-10w,04029565700000,5270
0,0,,,15A_D61,04030198060000,5087
0,0,,,15A_D71,04030231120000,5088
0,0,,,15A_E41,04030198070000,5090
0,0,,,15A_E61-WD,04030261680000,5100
0,0,,,15A_G41-WD,04030190100000,5076
0,0,,,15A_G72,04030354410000,5503
0,0,,,15A_G81-SI,04030230370000,5012
0,0,,,15A_H81-SI,04030289070000,5013
0,0,,,15A_MSI-1,04030388490000,5648
0,0,,,15A_MSI-2,04030490490000,6945
0,0,,,15A8-6,04029449570000,8198
0,0,,,16,04029053760000,564
0,0,,,17,04029053770000,522
0,0,,,18 P&A,04029053780000,299
0,0,,,19,04029053790000,103
0,0,,,1C 101,04019029820000,7188
0,0,,,1C 102,04019029830000,7189
0,0,,,1C 103,04019029840000,7190
0,0,,,1C 105,04019029850000,7191
0,0,,,1C 106,04019029860000,7192
0,0,,,1C 108,04019029870000,7193
0,0,,,1C 109,04019029880000,7194
0,0,,,1C 110,04019029890000,7195
0,0,,,1C 112,04019029900000,7196
0,0,,,1C 113,04019029910000,7738
0,0,,,1C 115,04019029920000,7739
0,0,,,1C 116,04019029930000,7740
0,0,,,1C 117,04019029940000,7741
0,0,,,1C 119,04019029950000,7742
0,0,,,1C 12,04019017200000,7064
0,0,,,1C 120,04019029960000,7743
0,0,,,1C 125,04019029970000,7744
0,0,,,1C 138,04019029990000,7745
0,0,,,1C 14,04019029470000,7154
0,0,,,1C 16,04019029480000,7155
0,0,,,1C 17,04019029490000,7156
0,0,,,1C 18,04019029500000,7157
0,0,,,1C 19,04019029510000,7158
0,0,,,1C 2,04019017140000,7060
0,0,,,1C 2-11,04019029420000,7151
0,0,,,1C 201,04019017210000,7065
0,0,,,1C 238,04019017220000,7066
0,0,,,1C 3,04019017150000,7061
0,0,,,1C 33,04019029520000,7159
0,0,,,1C 34,04019029530000,7160
0,0,,,1C 35,04019029540000,7161
0,0,,,1C 37,04019029550000,7162
0,0,,,1C 38,04019029560000,7163
0,0,,,1C 4,04019017160000,7062
0,0,,,1C 4-3,04019029430000,7152
0,0,,,1C 40,04019029570000,7164
0,0,,,1C 41,04019029580000,7165
0,0,,,1C 43,04019029590000,7166
0,0,,,1C 44,04019029600000,7167
0,0,,,1C 45,04019029610000,7168
0,0,,,1C 46,04019029620000,7169
0,0,,,1C 5,04019017170000,7063
0,0,,,1C 50,04019029640000,7170
0,0,,,1C 501,04019254730000,8079
0,0,,,1C 502,04019256140000,8559
0,0,,,1C 503,04019256130000,8556
0,0,,,1C 504,04019256090000,8557
0,0,,,1C 505,04019256100000,8560
0,0,,,1C 506,04019256110000,8558
0,0,,,1C 51,04019029650000,7171
0,0,,,1C 514,04019256900000,8593
0,0,,,1C 515,04019256910000,8599
0,0,,,1C 52,04019029660000,7172
0,0,,,1C 54,04019029670000,7173
0,0,,,1C 55,04019029680000,7174
0,0,,,1C 56,04019029690000,7175
0,0,,,1C 6-7,04019029440000,7153
0,0,,,1C 71,04019029700000,7176
0,0,,,1C 77,04019029710000,7177
0,0,,,1C 78,04019029720000,7178
0,0,,,1C 81,04019029730000,7179
0,0,,,1C 82,04019029740000,7180
0,0,,,1C 84,04019029750000,7181
